"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28087","User should be able to register during the checkout process","firefox","Wed Jan 07 03:47:48 UTC 2026","passed","Wed Jan 07 03:48:16 UTC 2026","E-Commerce Complexity Suite","ecommerce.spec.ts","",""
"","27037","User should be able to register during the checkout process","chromium","Wed Jan 07 03:47:18 UTC 2026","passed","Wed Jan 07 03:47:45 UTC 2026","E-Commerce Complexity Suite","ecommerce.spec.ts","",""
"","32634","User should be able to register during the checkout process","webkit","Wed Jan 07 03:48:17 UTC 2026","passed","Wed Jan 07 03:48:50 UTC 2026","E-Commerce Complexity Suite","ecommerce.spec.ts","",""
